word,reading,pos,meaning,collocation,quadrant,count
言う,いう,動詞,说,意見を言う / 名前を言う / 嘘を言う,隐藏考点,960
自分,じぶん,名詞,自己,,隐藏考点,719
ほう,ほう,名詞,方向,,隐藏考点,485
見る,みる,動詞,,テレビを見る / 夢を見る / 景色を見る,隐藏考点,451
聞く,きく,動詞,听,音楽を聞く / 話を聞く / 意見を聞く,隐藏考点,430
思う,おもう,動詞,想,大切だと思う / そう思う / 不思議に思う,隐藏考点,417
時間,じかん,名詞,,,隐藏考点,413
考える,かんがえる,動詞,思考,問題を考える / 方法を考える / 将来を考える,隐藏考点,335
仕事,しごと,名詞,工作,,隐藏考点,276
持つ,もつ,動詞,拥有,荷物を持つ / 意見を持つ / 責任を持つ,隐藏考点,272
分かる,わかる,動詞,,意味が分かる / 理由が分かる / 気持ちが分かる,隐藏考点,272
話,はなし,名詞,话,,隐藏考点,270
子供,こども,名詞,,,隐藏考点,255
書く,かく,動詞,写,手紙を書く / ノートを書く / 報告書を書く,隐藏考点,247
必要,ひつよう,名詞,必要,,隐藏考点,233
取る,とる,動詞,,写真を取る / ノートを取る / 連絡を取る,隐藏考点,224
やる,やる,動詞,,仕事をやる / 勉強をやる / 試合をやる,隐藏考点,221
わかる,わかる,動詞,明白,使い方がわかる / 意味がわかる / 答えがわかる,隐藏考点,211
子ども,こども,名詞,孩子,,隐藏考点,206
読む,よむ,動詞,读,本を読む / 新聞を読む / 資料を読む,隐藏考点,191
日本,にっぽん,名詞,,,隐藏考点,190
使う,つかう,動詞,使用,道具を使う / 言葉を使う / 時間を使う,隐藏考点,181
会社,かいしゃ,名詞,,,隐藏考点,177
述べる,のべる,他下一,叙述,感想を述べる（发表感想）,黄金词,175
質問,しつもん,名詞,问题,,隐藏考点,175
作る,つくる,動詞,制作,料理を作る / 計画を作る / 製品を作る,隐藏考点,166
人間,にんげん,名,人，人类,,黄金词,165
利用,りよう,名詞,利用,,隐藏考点,165
場合,ばあい,名詞,情况,,隐藏考点,163
出す,だす,動詞,,声を出す / 結果を出す / 答えを出す,隐藏考点,160
知る,しる,動詞,知道,事実を知る / 情報を知る / 存在を知る,隐藏考点,156
本,ほん,名詞,,,隐藏考点,155
合う,あう,動詞,,意見が合う / サイズが合う / 気が合う,隐藏考点,153
相手,あいて,名詞,对方,,隐藏考点,151
まず,まず,副詞,首先,まず確認する / まず考える / まず始める,隐藏考点,148
同じ,おなじ,連体詞,相同,,隐藏考点,148
多い,おおい,形容詞,多,,隐藏考点,147
情報,じょうほう,名詞,信息,,隐藏考点,146
商品,しょうひん,名詞,商品,,隐藏考点,139
置く,おく,動詞,,荷物を置く / 規則を置く / 距離を置く,隐藏考点,138
よく,よく,副詞,常常,よく理解する / よく考える / よく使う,隐藏考点,134
分,ぶん,名詞,,,隐藏考点,133
人生,じんせい,名詞,,,隐藏考点,131
選ぶ,えらぶ,動詞,选择,商品を選ぶ / 職業を選ぶ / 方法を選ぶ,隐藏考点,129
感ずる,かんずる,動詞,感受,痛みを感ずる / 不安を感ずる / 喜びを感ずる,隐藏考点,129
欲しい,ほしい,形容詞,,,隐藏考点,129
理解,りかい,名詞,理解,,隐藏考点,126
大切,たいせつ,形状詞,重要,大切に扱う / 大切にする / とても大切だ,隐藏考点,125
教える,おしえる,動詞,,方法を教える / 言語を教える / 知識を教える,隐藏考点,125
力,ちから,名詞,力量,,隐藏考点,124
生活,せいかつ,名詞,生活,,隐藏考点,124
社会,しゃかい,名詞,社会,,隐藏考点,123
生,なま,接尾辞,生,,隐藏考点,120
いー,い,感動詞,,,隐藏考点,117
伝える,つたえる,動詞,,気持ちを伝える / 情報を伝える / メッセージを伝える,隐藏考点,117
文章,ぶんしょう,名詞,文章,,隐藏考点,115
内容,ないよう,名詞,内容,,隐藏考点,115
呉れる,くれる,動詞,,アドバイスをくれる / プレゼントをくれる,隐藏考点,111
気持ち,きもち,名詞,心情,,隐藏考点,108
生きる,いきる,動詞,生活,自由に生きる / 社会で生きる / 長く生きる,隐藏考点,107
電話,でんわ,名詞,,,隐藏考点,107
対する,たいする,自サ,面对；关于,文学 [ぶんがく] に対する興味（对文学的兴趣）,黄金词,106
付ける,つける,動詞,,条件を付ける / 名前を付ける / 値段を付ける,隐藏考点,106
知れる,しれる,動詞,,広く知れる / よく知れる,隐藏考点,105
可能,かのう,形状詞,可能,可能にする / 可能な限り / 実現が可能だ,隐藏考点,103
気,き,名詞,气,,隐藏考点,99
入る,はいる,動詞,进入,部屋に入る / 学校に入る / 組織に入る,隐藏考点,98
友達,ともだち,名詞,,,隐藏考点,98
頂く,いただく,動詞,,お話を頂く / ご意見を頂く / プレゼントを頂く,隐藏考点,98
自身,じしん,名,自己,,黄金词,97
やすい,やすい,接尾辞,容易,,隐藏考点,97
行動,こうどう,名詞,行动,,隐藏考点,97
高い,たかい,形容詞,高,,隐藏考点,97
過ぎる,すぎる,動詞,,時間が過ぎる / 限度を過ぎる / 度を過ぎる,隐藏考点,97
新しい,あたらしい,形容詞,新,,隐藏考点,96
考え,かんがえ,名詞,想法,,隐藏考点,94
経験,けいけん,名詞,经验,,隐藏考点,94
犬,いぬ,名詞,,,隐藏考点,94
話す,はなす,動詞,说话,日本語を話す / 経験を話す / 問題を話す,隐藏考点,93
能力,のうりょく,名詞,能力,,隐藏考点,92
知識,ちしき,名,知识,,黄金词,91
市,し,名詞,,,隐藏考点,91
訳,わけ,名詞,,,隐藏考点,91
試験,しけん,名詞,,,隐藏考点,91
訓える,おしえる,動詞,教导,方法を訓える / 知識を訓える,隐藏考点,90
食べる,たべる,動詞,吃,料理を食べる / 朝ごはんを食べる / 外食で食べる,隐藏考点,88
大学,だいがく,名詞,高等教育,,隐藏考点,88
結果,けっか,名詞,结果,,隐藏考点,88
予約,よやく,名詞,,,隐藏考点,88
客,きゃく,名詞,,,隐藏考点,88
内,うち,名詞,,,隐藏考点,87
言葉,ことば,名詞,语言,,隐藏考点,86
大きい,おおきい,形容詞,大,,隐藏考点,86
意味,いみ,名詞,意义,,隐藏考点,84
性,せい,接尾辞,性别,,隐藏考点,84
出る,でる,動詞,出现,外に出る / 結果が出る / 声が出る,隐藏考点,84
好き,すき,形状詞,喜欢,好きなことをする / 音楽が好き / 好きな食べ物,隐藏考点,84
心,こころ,名詞,心,,隐藏考点,83
与える,あたえる,動詞,给予,影響を与える / 機会を与える / ダメージを与える,隐藏考点,82
参加,さんか,名詞,参与,,隐藏考点,81
ページ,ぺーじ,名詞,页面,,隐藏考点,81
場所,ばしょ,名詞,地方,,隐藏考点,79
買う,かう,動詞,买,商品を買う / 本を買う / 野菜を買う,隐藏考点,79
物,もの,名詞,物品,,隐藏考点,79
水,みず,接尾辞,水,,隐藏考点,77
行う,おこなう,動詞,进行,実験を行う / 調査を行う / 式を行う,隐藏考点,76
なぜ,なぜ,副詞,为什么,なぜ起こる / なぜ必要か / なぜ大切か,隐藏考点,76
車,くるま,名詞,汽车,,隐藏考点,75
大人,おとな,名詞,成年人,,隐藏考点,75
表現,ひょうげん,名詞,表达,,隐藏考点,74
説明,せつめい,名詞,说明,,隐藏考点,74
作品,さくひん,名詞,作品,,隐藏考点,74
希望,きぼう,名詞,希望,,隐藏考点,73
変える,かえる,動詞,改变,計画を変える / 方法を変える / 生活を変える,隐藏考点,72
重要,じゅうよう,形状詞,重要,重要な役割 / 重要な情報 / 非常に重要だ,隐藏考点,72
価値,かち,名詞,价值,,隐藏考点,72
関係,かんけい,名詞,关系,,隐藏考点,71
環境,かんきょう,名詞,环境,,隐藏考点,71
