word,reading,pos,meaning,collocation,count,source,is_n2_core,examples,meaning_detail,quadrant
言う,いう,動詞,说,意見を言う / 名前を言う / 嘘を言う,960,真题,否,そこまで悪く言わなくてもいいだろう / ジョン「この『理解』という言葉はどういう意味ですか。,①说，讲（彼はそう言った。｜他说了那样。）②告诉，告知（彼女に言っておく。｜我会告诉她。）,隐藏考点
自分,じぶん,名詞,自己,自分を知る / 自分に自信を持つ / 自分が好き,719,真题,否,相手に自分が感じたことをそのまま伝える行為である。 / また、ある調査によると、 自分の血液型がどんな性格かということを聞いて、知らないうちに自分の,①自己，自身（自分を大切に。｜要珍惜自己。）②本人，自己（自分がやります。｜我来做。）,隐藏考点
ほう,ほう,名詞,方向,ほうを向く / ほうが違う / ほうに進む,485,真题,否,高齢者から情報を絞ったほうが良いという意見があったこと / 次のAとBはそれぞれ、ノートやメモの取り方について書かれた文章である。,①方向，方面（こっちのほうがいい。｜这边更好。）②方法，做法（こういうほうが楽。｜这样做更轻松。）,隐藏考点
聞く,きく,動詞,听,音楽を聞く / 話を聞く / 意見を聞く,430,真题,否,自分の話を聞いてもらいながらグループの話も聞くこと / グループに加わりたいときは、まず黙って話を聞くことです。,①听，听见（音楽を聞く。｜听音乐。）②询问，打听（先生に聞く。｜问老师。）,隐藏考点
思う,おもう,動詞,想,大切だと思う / そう思う / 不思議に思う,417,真题,否,薬で治ったと思っていた風邪が続出した。 / これからも様々な国との相互理解を深めていこうと思う。,①认为，觉得（そう思います。｜我这样认为。）②想，思考（何を思っているの？｜你在想什么？）,隐藏考点
考える,かんがえる,動詞,思考,問題を考える / 方法を考える / 将来を考える,335,真题,否,できたのではないかと考えます / できなかったのだと考えられます,①思考，考虑（よく考えてください。｜请好好考虑。）②想象，设想（未来を考える。｜想象未来。）,隐藏考点
仕事,しごと,名詞,工作,仕事をする / 仕事が忙しい / 仕事に行く,276,真题,否,ただ、もし別の仕事を選ん / いように、 (注1) 誰しも自分だけの仕事を探しているのだろう。,①工作，职业（仕事が忙しい。｜工作很忙。）②任务，职责（大事な仕事です。｜这是重要的任务。）,隐藏考点
持つ,もつ,動詞,拥有,荷物を持つ / 意見を持つ / 責任を持つ,272,真题,否,彼は動物に対して深刻な愛情を持っている。 / 自然な気持ちのあらわれなどではなく、ほかのねらいを持った(注),①拥有，持有（お金を持っている。｜我有钱。）②携带，拿着（傘を持つ。｜我拿着伞。）,隐藏考点
話,はなし,名詞,话,話をする / 話が面白い / 話に出る,270,真题,否,彼の話はいつも大げさだ。 / グループに加わりたいときは、まず黙って話を聞くことです。,①谈话，讲话（楽しい話をする。｜讲有趣的故事。）②故事，传说（面白い話。｜有趣的故事。）,隐藏考点
書く,かく,動詞,写,手紙を書く / ノートを書く / 報告書を書く,247,真题,否,以前の紙面は重要な情報が簡潔にまとめて書かれていなかった。 / 次のAとBはそれぞれ、ノートやメモの取り方について書かれた文章である。,①写，书写（手紙を書く。｜写信。）②记录，记下（メモを書く。｜记笔记。）,隐藏考点
必要,ひつよう,名詞,必要,必要がある / 必要を感じる / 必要に応じて,233,真题,否,たいのであれば、それなりの準備や練習は必要なのです。 / 乾燥地帯の地下水を増やすには、環境に適した木を植える必要があると考えること,①必需的（それは必要です｜这是必需的）②必要性（必要なもの｜必需的东西）,隐藏考点
わかる,わかる,動詞,明白,使い方がわかる / 意味がわかる / 答えがわかる,211,真题,否,アリ 「ああ、たしか 『わかる』 / まっている、言い換えれば、血液型が分かれば大体の性格もわかるという50です。,①理解（わかりますか｜你明白吗）②明白（意味がわかる｜明白意思）,隐藏考点
子ども,こども,名詞,孩子,子どもが遊ぶ / 子どもに教える / 子どもが好き,206,真题,否,子供の頃から憧れていた仕事 / 子供の頃に憧れていた野球選手とか、大学時代に憧れ,①孩子（子どもが遊んでいる｜孩子在玩）②儿童（子ども向けの本｜儿童书籍）,隐藏考点
読む,よむ,動詞,读,本を読む / 新聞を読む / 資料を読む,191,真题,否,老眼鏡を持っていないと少し読みにくいこと / 小さい文字が読みにくい高齢の読者が多くなったこと,①阅读（本を読む｜阅读书籍）②解读（新聞を読む｜看新闻）,隐藏考点
使う,つかう,動詞,使用,道具を使う / 言葉を使う / 時間を使う,181,真题,否,験のほか、酸素を作り出すのにも使われる。 / 周囲の協力が得られれば、時間を自由に使えるから,①使用（道具を使う｜使用工具）②利用（お金を使う｜花钱）,隐藏考点
述べる,のべる,他下一,叙述,感想を述べる（发表感想）,175,两者,是,AとBで共通して述べられていることは何か。 / みんなで会話をしているときには、どのような注意が必要だと述べているか。,①叙述（意見を述べる｜表达意见）②表达（考えを述べる｜表达想法）,黄金词
質問,しつもん,名詞,问题,質問をする / 質問がある / 質問に答える,175,真题,否,話の前に質問はありません。 / では、まず質問を聞いてください。,①提问（質問があります｜我有问题）②疑问（質問をする｜提问）,隐藏考点
作る,つくる,動詞,制作,料理を作る / 計画を作る / 製品を作る,166,真题,否,なんだ」 / 実験や酸素を作るときには地球から運ばれた水が使用される。,①制作（料理を作る｜做菜）②创造（作品を作る｜创作作品）,隐藏考点
人間,にんげん,名,人，人类,人間が生きる / 人間に関する / 人間が大切,165,两者,是,などと、こちらが勝手にその人 / 人間は忘れやすい動物なのだ。,①人类（人間の本質｜人类本质）②人（人間関係｜人际关系）,黄金词
利用,りよう,名詞,利用,利用する / 利用が多い / 利用に関する,165,真题,否,(注4) 版のものが出て、老眼鏡なしでも利用できるとありがたがられています。 / 個別の質問を希望する者は、休憩時間を利用してあらかじめ質問用紙に記入しておくこと。,①利用（資源を利用する｜利用资源）②使用（サービスを利用する｜使用服务）,隐藏考点
場合,ばあい,名詞,情况,場合による / 場合がある / 場合を考える,163,真题,否,(中略)「ほめる教育」 / 応募者多数の場合は抽選になります。,①情况（その場合はどうしますか｜那种情况下怎么办）②场合（特別な場合に限ります｜仅限特殊情况）,隐藏考点
